canonical_vendor_name,canonical_line_item_name
10 Minute Ventures,Management Services
ACORD,eForms Redistribution
Acqcom Digital Marketing,Web Media Fee
CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
CSC,FOREIGN FILING
CSC,SPECIAL ARRANGEMENT DISCOUNT
CSC,SERVICE FEE - PREPARE & FILE ANNUAL REPORT/TAX RETURN - ANNUAL REPORT MONITORING SERVICE
CSC,NO STATE FILING FEE
CSC,STATE EXPEDITED FEE
CSC,STATUTORY REPRESENTATION
CSC,FICTITIOUS/ASSUMED NAME FILING
CSC,PUBLICATION
CSC,DIRECT FILE
CSC,ONE TIME REGISTERED AGENT REPRESENTATION SET UP FEE
Amazon Business,Anti-Theft Adjustable Tablet Security Stand
Amazon Business,Apple iPad 2
Amazon Business,Apple iPad with Retina Display
Amazon Business,"Apple iPad with Retina Display MD511LL/A (32GB, Wi-Fi, Black) 4th Generation (Renewed)"
Amazon Business,Oval plastic storage tubs with handle
Amazon Business,SUNLAND Mesh Dish Cloths for Washing Dishes No Odor Dishes Scrubber for Kitchen-Fast Drying and Easy to Clean Mesh Dishes Cloth 12 Pack 12Inch x12Inch
Amazon Business,"USB C Charger, Nekteck 90W Type C Wall Charger USB-IF Certified with Power Delivery,Foldable Plug, Built-in 6ft Cable for MacBook Pro/Air 2018, Google"
Amazon Business,Super Pumped: The Battle for Uber
Amazon Business,Xbox Wireless Controller - White
Amazon Business,GameSir Xbox One Dual Charging Dock Charger Station with 2x 800mAh Rechargeable Batteries and 3.3ft USB Cable For Xbox One/One S/One Elite Wireless Co
Amazon Business,Xbox One S 1TB All-Digital Edition Console (Disc-free Gaming)
Amazon Business,Xbox Wireless Controller - Black
Amazon Business,[100 Pack] 10 oz. White Paper Hot Cups - Coffee Cups
Amazon Business,AboveTEK Sleek Magnetic Tablet Stand
Amazon Business,"AIEX 96 Pieces Adhesive Poster Tacky Putty Sticky Non-Toxic Mounting Putty Reusable & Removable Wall Safe Tack Putty for Hanging Pictures and Museum,"
Amazon Business,"AmazonFresh Mediterranean Extra Virgin Olive Oil, 68 Fl Oz (2L)"
Amazon Business,"Apple Magic Keyboard with Numeric Keypad (Wireless, Rechargable) (US English) - Silver"
Amazon Business,"Apple Magic Mouse 2 (Wireless, Rechargable) - Silver"
Amazon Business,Apple Thunderbolt 3 (USB-C) to Thunderbolt 2 Adapter
Amazon Business,"Black Vinyl Numbers Stickers - 6 Inch Self Adhesive - 2 Sets - Premium Decal Die Cut and Pre-Spaced for Mailbox, Signs, Window, Door, Cars, Trucks, Ho"
Amazon Business,"Bose QuietComfort 35 (Series I) Wireless Headphones, Noise Cancelling - Black"
Amazon Business,"Calculator,Vilcome 12-Digit Solar Battery Office Calculator with Large LCD Display Big Sensitive Button, Dual Power Desktop Calculators (Black)"
Amazon Business,CARTMAN Orange 39-Piece Tool Set
Amazon Business,Dell 130-WATT 3-Prong AC Adapter with 6 FT Power Cord
Amazon Business,Louianna Certified Organic I.G.P. Balsamic Vinegar of Modena250ML-ICEA-BRC AA Grade-IFS Higher Level-Non-GMO- No sulfites added - No caramel added-5
Amazon Business,Microsoft Natural Ergonomic Keyboard 4000 for Business - Wired
Amazon Business,"OliviaTree 5PCS Innovative Dish Washing Net Cloths,Scourer,Quick Dry, Mesh net for Washing Dish, Dish wash net, Dish Sponge, Dish Scrubber 11"" by 11"""
Amazon Business,Samsung 128GB 100MB/s (U3) MicroSDXC Evo Select Memory Card with Adapter (MB-ME128GA/AM)
Amazon Business,Shipping & handling
Amazon Business,VIVO Black Height Adjustable 32 inch Standing Desk Converter | Sit Stand Dual Monitor and Laptop Riser Workstation (DESK-V000K)
Amazon Business,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision, 2-Way Audio, Person Detection, Works with Alexa & the Google Assist"
Amazon Business,"1 Kitchen Sink Strainer Basket Catcher (2-pack) - 4.5"" Diameter, Wide Rim Perfect for Most Sink Drains, Anti-Clogging Micro-Perforation 2mm Holes, Rust"
Amazon Business,"1 Prime-Line U 9940 Mailbox Lock - Replacement, Multipurpose Mailbox Lock for Several Brands - Brass Finish, ILCO 1003M Keyway, Opens Counter-Clockwise"
Amazon Business,100 PCS Binder Clips + 200PCS Bonus Paper Clips -6 Assorted Size Paper Clamps Clips with 28mm 32mm Paper Clips (300)
Amazon Business,"10ft Long 30 pin to USB Sync and Charge Cable for iPhone 4/4s, iPad 2/3, iPod 1-6 Gen, iPod Classic - Gray"
Amazon Business,"18 oz Party Cups, 96 Count - Black, Purple, Pumpkin Orange - 32 Each Color"
Amazon Business,"2 D-Line White Cable Raceway On-Wall Cord Cover | 39 Inch Medium Paintable Channel to Hide and Conceal Cords, Cables, or Wires | Cable Management | 1.18"
Amazon Business,"4 Oz. White Paper Hot Coffee Cup For Espresso, Nespresso, Lavazza, Sampling Cup 100 Pack"
Amazon Business,50 Plastic Champagne Flutes | 5.5 oz. Clear Hard Disposable Party & Wedding Cups | Premium Heavy Duty Fancy Champagne Flute (50-Pack) by Bloomingoods
Amazon Business,8 AmazonBasics USB Type-C to USB 3.1 Gen1 Female Adapter Cable - White
Amazon Business,"8x4x10"" 12 Pcs. Medium-Small Black Reusable Tote Bags, Grocery Bags, Shopping Bags with Handles Eco Friendly- 100% Recyclable Bag"
Amazon Business,"Achim Home Furnishings Cordless Honeycomb Cellular Pleated Window Shade, 45"" X 64"", White, 45 X 64"
Amazon Business,"Aluf Plastics 55-60 Gallon Blue Trash Bags for Rubbermaid Brute - Pack of 100 - Garbage or Recycling Bags 58"" by 38"" 1.2 (Equivalent) MIL - for Indust"
Amazon Business,"Amazon Brand - Solimo Facial Tissues with Lotion, 75 Tissues per Box (18 Cube Boxes)"
Amazon Business,AmazonBasics AAA 1.5 Volt Performance Alkaline Batteries - Pack of 36
Amazon Business,AmazonBasics File Folders with Reinforced Tab - Letter Size (100 Pack) - Manila
Amazon Business,AmazonBasics Mesh Trash Can Waste Basket
Amazon Business,"AmazonBasics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches, 3 Ream Case (1,500 Sheets)"
Amazon Business,"Anti-Theft Adjustable Tablet Security Stand - Heavy Duty Aluminum Metal Floor Standing Kiosk Mount Tablet Case Holder Display w/ 42.75 Inch Pole, For"
Amazon Business,Apple 87W USB-C Power Adapter (for MacBook Pro)
Amazon Business,Apple iPad 4 16GB 9.7in Retina Display WiFi Bluetooth & Camera - Black - 4th Gen (Renewed)
Amazon Business,"Apple Power Adapter Extension Cable (for MacBook Pro, MacBook, MacBook Air)"
Amazon Business,Apple USB-C Charge Cable (2m)
Amazon Business,"ARTEZA 20 Small Magnetic Whiteboard Dry Erasers, Perfect for the Office, Home, or Classroom"
Amazon Business,"ARTEZA Dry Erase Markers, Bulk Pack of 52 (with Chisel Tip), Black Color with Low-Odor Ink, Whiteboard Pens is perfect for School, Office, or Home"
Amazon Business,Assurant B2B 4YR Kitchen Protection Plan with Accidental Damage $50-74
Amazon Business,"Avantree 12 Pack Long Lasting Cable Clips, Desktop Cord Holder & Hider, Charging Cable Drop Organizer & Management System for TV PC Laptop Home Office"
Amazon Business,"Bankers Box SmoothMove Classic Moving Kit Boxes, Tape-Free Assembly, Easy Carry Handles, 8 Small 4 Medium, 12 Pack (7716401)"
Amazon Business,"BIC Brite Liner Highlighter, Chisel Tip, Yellow, 12-Count"
Amazon Business,"Brother P-touch, PTD210"
Amazon Business,"Bulk Assorted Fruit Candy - Starburst, Skittles, Swedish Fish, SweeTarts, Nerds, Sour Patch Kids, Haribo Gold-Bears Gummi Bears & Twizzlers (32 Oz Var"
Amazon Business,"Care Touch Lens Cleaning Wipes, Pre Moistened Cleansing Cloths Great for Eyeglasses, Tablets, Camera Lenses, Screens, Keyboards and Other Delicate Sur"
Amazon Business,"Clasp Envelopes - 9.5x12 Inch Brown Kraft Catalog Envelopes with Clasp Closure & Gummed Seal - 28lb Heavyweight Paper for Home, Office, Business, Lega"
Amazon Business,"Decaf Donut Shop Blend for K-Cup Keurig 2.0 Brewers, 80 Count, Victor Allen's Coffee Medium Roast Single Serve Coffee Pods"
